i'm just curious	je suis juste curieuse
i will help	j'aiderai
drop me a line	laissez moi un mot
he is playing golf	il joue au golf
we've got to conserve water	nous devons preserver l'eau
i could tutor you	je pourrais vous enseigner
the pizza tasted good	la pizza etait bonne
i lay on my face	j'etais allonge sur le ventre
i could be of help	je pourrais etre utile
tom's alive	tom est en vie
i'm leaving	je pars
about what time ?	vers quelle heure ?
she ironed his shirts	elle repassait ses chemises
you seem happy	vous semblez heureuse
tom became a minister	tom est devenu ministre
that wall is cold	ce mur est froid
i don't want dinner	je ne veux pas diner
you're sad	tu es triste
you look japanese	tu as l'air japonais
have you already eaten ?	avez vous deja mange ?
they live downstairs	ils vivent en dessous
your answer is wrong	ta reponse est incorrecte
stand up straight	tiens toi droite !
let's face the facts !	regardons la realite !
she scolded him	elle l'a sermonne
i'll prove it to you	je vous le prouverai
is this love ?	est ce de l'amour ?
thank you for your kindness	merci de ta gentillesse
thanks for stopping by	merci d'etre passes
are we prepared ?	y sommes nous prets ?
leave no stone unturned	remue ciel et terre !
we've been busy	nous avons ete occupes
i beg your pardon	je vous prie de m'excuser
how interesting !	comme c'est interessant !
he was pleasantly surprised	il a ete agreablement surpris
it is a song	c'est une chanson
like father like son	tel pere tel fils !
i burned them	je l'ai brule
tomorrow is christmas day	demain c'est noel
try it again	essaye encore
i'm not insane	je ne suis pas folle
i was born in osaka	je suis ne a osaka
this medication works instantly	ce traitement fonctionne instantanement
stand back !	reculez !
i gave up hope	j'ai abandonne tout espoir
we're all impressed	nous sommes tous impressionnes
your cat is fat	votre chatte est grosse
i don't understand opera	je ne comprends pas l'opera
i'm always happy	je suis toujours contente
this is my daughter	c'est ma fille
where are the guns ?	ou sont les armes ?
i don't like the ocean	je n'aime pas l'ocean
are you registered ?	etes vous inscrit ?
give me your shirt	donnez moi votre chemise !
let me die	laisse moi mourir
her speech moved the audience	son discours emut l'auditoire
i watched it on youtube	je l'ai regarde sur youtube
i don't remember a thing	je ne me rappelle rien
she kept on talking	elle continua de parler
nobody will notice	personne ne va remarquer
you're not very funny	tu n'es pas tres amusant
i drank the water	je bus l'eau
you're pathetic	tu es pathetique
i demand satisfaction	j'exige d'etre satisfaite
tom teaches us french	tom nous enseigne le francais
they're tired	ils sont fatigues
you're rich	tu es riche
i filled in the blanks	j'ai complete les blancs
i'll call you later	je te rappellerai plus tard
you're very wise	vous etes tres avisee
i'm aware of the facts	je suis consciente des faits
i don't like this hat	je n'aime pas ce chapeau
when do you study ?	quand etudiez vous ?
he removed his shirt	il retira sa chemise
you are not kind	vous n'etes pas gentil
feed the bird !	nourris l'oiseau !
i've got plenty of money	je dispose de beaucoup d'argent
come to my office	viens a mon bureau
this is just water	ce n'est que de l'eau
tom doesn't have a dad	tom n'a pas de pere
did you check this ?	as tu verifie ceci ?
let her replace it	laisse la le remplacer
i'm busy too	je suis egalement occupee
i did it once	je l'ai fait une fois
we're under attack	nous sommes attaques
you're resilient	tu es tenace
this is gold	c'est de l'or
here's my email address	voila mon adresse electronique
don't light the candle	n'allume pas la bougie !
she lives in the village	elle vit dans ce village
he can leave tomorrow	il peut partir demain
you look very dignified	vous paraissez tres digne
don't let tom frighten you	ne laisse pas tom t'intimider
she didn't seem interested	elle ne semblait pas interessee
you stay here	tu restes ici
your parents were right	vos parents avaient raison
it feels like an orange	on dirait une orange
he stopped drinking	il cessa de boire
you're the teacher	vous etes le professeur
let's not be too hasty	ne nous precipitons pas !
he runs very fast	il court fort vite
i have back problems	j'ai des problemes de dos
you are rich	vous etes riches
some dogs are very smart	certains chiens sont tres malins
start writing	commence a ecrire
watch the road	regarde la route !
i like that skirt	j'aime cette jupe
adjust your tie	ajustez votre cravate !
you're very clever	tu es fort ingenieux
i'm at the prison	je suis a la prison
when will you leave ?	quand vas tu partir ?
i received your letter yesterday	j'ai recu votre lettre hier
can i touch it ?	puis je y toucher ?
it's already out of fashion	c'est deja demode
it was a bad movie	c'etait un film mauvais
it's awesome	c'est super
i feel feverish	je me sens fievreux
tom pounded on the door	tom tambourina a la porte
it's not a joke	ce n'est pas une blague
it's all nonsense	c'est completement insense
did i hurt you ?	vous ai je blesse ?
do you trust her ?	lui fais tu confiance ?
i appreciate all your advice	j'apprecie tous tes conseils
reading books is important	lire des livres est important
i don't believe that	je n'y crois pas
i have a few friends	j'ai quelques amis
bring along your friend	amenez votre ami
he drives his own car	il conduit sa propre voiture
there's my team	voila mon equipe
maybe you were right	tu avais peut etre raison
i accept your terms	j'accepte tes conditions
hang on !	attendez un peu !
they gave us their word	elles nous donnerent leur parole
you need a drink	il vous faut un verre
show it to her	montre la lui !
now go have fun	maintenant va t'amuser
that's enough for today	assez pour aujourd'hui
how lovely !	comme c'est charmant !
they were all smiling	elles souriaient toutes
he screamed for help	il a crie a l'aide
tom closed his eyes	tom ferma les yeux
i need inspiration	il me faut de l'inspiration
it's not right	ce n'est pas exact
it's hard to choose	c'est difficile de choisir
tom can handle this	tom peut gerer cela
remain seated please	veuillez rester assis
i answered for him	je repondis pour lui
he severely criticized the mayor	il critiqua severement le maire
i loved that book	j'ai adore ce livre
any questions ?	de quelconques questions ?
you're arrogant	vous etes arrogante
i don't worry about that	je ne m'en soucie pas
i don't appreciate being interrupted	je n'apprecie pas d'etre interrompue
i like talking	il me plait de causer
we lost our chance	nous avons rate notre chance
tom isn't my brother	tom n'est pas mon frere
wake tom up	reveille tom !
i didn't kiss tom	je n'ai pas embrasse tom
you can read this book	vous pouvez lire ce livre
this coffee is undrinkable	ce cafe est imbuvable
turn off the tv	eteins la television
it's all over	c'est completement fini
he earns a good salary	il recoit un bon salaire
what could i do ?	que pourrais je faire ?
you're stuck	t'es plantee
his eyesight is failing	sa vue baisse
he became irritated	il est devenu irrite
that movie is exciting	ce film est passionnant
you're a woman now	tu es desormais une femme
is it yours ?	est ce la votre ?
i hate this store	je deteste ce magasin
this is absurd	c'est absurde
we're getting there	nous y arrivons
you must be starving	vous devez mourir de faim
i hope that's good enough	j'espere que c'est assez bien
i like castles	j'aime les chateaux
i didn't like that	je n'ai pas aime cela
i turned the lights out	j'ai eteint la lumiere
try to remain calm	essayez de rester calme
it's a happy thing	c'est une chose heureuse
you will soon get well	vous serez bientot sur pieds
they've all left	elles sont toutes parties
we were in boston	nous etions a boston
that depends on you	ca depend de vous
let's start here	commencons ici !
we're newcomers	nous sommes des nouveaux venus
we're worried	nous nous faisons du souci
dogs are faithful	les chiens sont fideles
are we just friends ?	ne sommes nous qu'amies ?
i think he's lying	je pense qu'il ment
you're not dead	vous n'etes pas mortes
see you all tomorrow	je vous verrai tous demain
she greeted him cheerfully	elle l'a accueilli gaiement
i feel great right now	je me sens bien maintenant
don't wait	n'attends pas !
he was a real drunkard	c'etait un vrai ivrogne
we certainly hope not	nous ne l'esperons certainement pas
you let me down	vous m'avez decu
we need proof	il nous faut des preuves
what a pleasant surprise !	quelle agreable surprise !
i have a grenade	j'ai une grenade
cuff him	menottez le
have they spotted you ?	vous ont ils reperes ?
we need action	nous avons besoin d'action
don't leave me here	ne me laisse pas la
they were playing tennis	ils jouaient au tennis
let's watch something else	regardons autre chose !
we're in sync	nous sommes synchronises
i like opera	j'apprecie l'opera
you really annoy me	tu m'ennuies vraiment
i want to visit korea	je veux visiter la coree
don't wait too long	n'attends pas trop
she begged him to stay	elle le supplia de rester
i heard a woman scream	j'ai entendu crier une femme
have you measured it ?	l'avez vous mesure ?
don't blame the victim	n'accuse pas la victime !
we ate together	nous avons mange ensemble
i did that yesterday	je l'ai fait hier
the ground seems wet	le sol a l'air mouille
she's hyperactive	elle est hyperactive
you are deceiving yourself	vous vous leurrez
we improved the quality	nous avons ameliore la qualite
i like sauerkraut	j'aime la choucroute
tom can't come in	tom ne peut pas entrer
i was wrong	j'avais tort
i thought it was hilarious	j'ai pense que c'etait hilarant
i'm at your mercy	je suis a ta merci
they're mine	ils sont a moi
to the third power is	la troisieme puissance de est
cut it out !	arrete !
i have hives	j'ai de l'urticaire
he walks fast	il marche rapidement
this bed looks solid	ce lit a l'air solide
this is highly inefficient	c'est franchement inefficace
he's good at cards	il est bon aux cartes
it could be dangerous	ca pourrait etre dangereux
the answer's yes	la reponse est oui
don't forget	ne l'oubliez pas !
i'm surviving	je survis
let me pay for it	laisse moi le payer
you are very rich	vous etes fort riches
they're not coming	ils ne viennent pas
come here right now	viens ici tout de suite
i'm too busy	je suis trop affaire
you won't believe this	vous ne le croirez pas
she was painfully thin	elle etait atrocement mince
they should have one	ils devraient en avoir un
show it to me	montrez la moi
let's take a bus	prenons un bus
tom's glad	tom est heureux
will you shut up ?	veux tu te taire ?
i told him everything	je lui ai tout dit
my brother became an engineer	mon frere est devenu ingenieur
i'm prepared	je suis preparee
what's it all mean ?	que signifie tout ceci ?
everyone knew that	tout le monde le savait
do it right now	faites le immediatement
you're up to something	tu manigances quelque chose
you cheated	vous avez triche
it is a luxury cruise	c'est une croisiere de luxe
do you enjoy talking ?	aimes tu discuter ?
i hope we achieve that	j'espere que nous finirons cela
i received your letter yesterday	j'ai recu ta lettre hier
are you at work ?	es tu au travail ?
you're disgusting	vous etes degoutants
i'll be there monday night	j'y serai lundi soir
he promised to marry her	il promit de l'epouser
sound the alarm !	sonne l'alarme !
did you hear that ?	avez vous entendu cela ?
you can use my bicycle	vous pouvez utiliser mon velo
i finished the job yesterday	j'ai fini le travail hier
that's an incredible story	c'est une histoire incroyable
the water is waist deep	l'eau m'arrive jusqu'a la taille
i planted a tree	j'ai plante un arbre
this is my book	c'est mon livre
he drives roughly	il conduit brutalement
you're courageous	tu es courageux
don't tell me	ne me le dis pas
the man ate bread	l'homme mangea du pain
you gave me your word	tu m'as donne ta parole
don't look at him !	ne le regardez pas !
they're all the same	ils sont tous les memes
i like milk	j'aime le lait
tom is thirty years old	tom a trente ans
let's go by car	rendons nous y en voiture
you've been infected	vous avez ete infectee
i have no idea	je n'en ai aucune idee
she speaks good english	elle parle un bon anglais
darwin changed the world	darwin a change le monde
i finished last	j'ai termine derniere
no one really cares	tout le monde s'en fout
we've already begun	nous avons deja commence
are you all set ?	vous etes tous prets ?
aren't you hungry ?	n'as tu pas faim ?
my school marks were average	mes notes scolaires furent moyennes
tom brought that	tom a apporte ca
we'll never make it	nous n'allons jamais y arriver
don't drink that	ne bois pas ca !
this is your house	c'est ta maison
i was good	je fus bon
this book is about stars	cet ouvrage traite des etoiles
i'd be grateful	je serais reconnaissant
we have finished lunch	nous avons fini de diner
you won't have a chance	vous n'aurez aucune chance
are you lonely ?	es tu esseule ?
the town is beautiful	la bourgade est belle
the engine doesn't work	le moteur ne fonctionne pas
are you talking shop ?	vous parlez boulot ?
she always keeps her promises	elle tient toujours ses promesses
you seem happy	tu sembles heureuse
it's already eleven	il est deja onze heures
there's no hurry	il n'y a pas d'urgence
it's business as usual	c'est toujours la meme chose
sometimes everything goes wrong	parfois tout va mal
i'm in luck	je suis veinarde
don't trample on the grass	ne marche pas sur l'herbe
i'm not impressed	je ne suis pas impressionne
we're all at risk	nous sommes toutes en danger
it's too small	c est trop petit
aren't you thirsty ?	n'avez vous pas soif ?
it's a pipe dream	c'est un projet chimerique
i like your style	j'apprecie votre style
that didn't work	ca n'a pas fonctionne
what's the catch ?	ou est l'arnaque ?
i need a job	j'ai besoin d'un emploi
tom could sense something	tom pouvait sentir quelque chose
english is spoken in australia	l'anglais est parle en australie
stop that	arretez ca !
would you step aside ?	te retirerais tu ?
it's a bit further way	c'est un peu plus loin
tom is quite different	tom est assez different
i lit the match	je craquai l'allumette
i know where she is	je sais ou elle est
tom is the owner	tom est le proprietaire
this is ludicrous	c'est ridicule
he hates his life	il deteste sa vie
tom was dressed in black	tom etait habille en noir
we have no water	nous sommes depourvues d'eau
i paid for the drinks	j'ai paye les boissons
that was not my question	ce n'etait pas ma question
i can read	je sais lire
you're very sophisticated	tu es tres elegante
goodbyes are always sad	les adieux sont toujours tristes
he failed the entrance exam	il rata l'examen d'entree
the boy is wearing glasses	le garcon porte des lunettes
the band is still together	le groupe tient toujours
i have two nephews	j'ai deux neveux
you're finished already	vous en avez deja fini
how about your father ?	et ton pere ?
is it large enough ?	est ce assez grand ?
i would do it again	je le ferais a nouveau
i'll take your coat	je prendrai ton manteau
she is aggressive	elle est agressive
it is going to snow	il va neiger
it needs washing	on doit le laver
i just have one question	j'ai simplement une question
keep a cool head	gardez la tete froide
she is hard at work	elle travaille dur
the clock is ticking	l'horloge tictaque
i couldn't see a thing	je ne pouvais rien voir
have they spotted you ?	vous ont elles reperee ?
release him	relache le !
you're very busy	vous etes fort occupees
be more flexible	soyez davantage flexibles
it's just blood	ce n'est que du sang
no one's judging you	personne ne vous juge
where will you go ?	ou irez vous ?
i've already paid you	je vous ai deja payes
get ready	preparez vous
i changed my hairstyle	j'ai change de coiffure
that's enough	c'est suffisant
i turned on the lights	j'ai allume les phares
i had to go back	il m'a fallu retourner
he was covered with mud	il etait couvert de boue
they had a boat	ils avaient un bateau
this is awesome	c'est genial !
what is going on ?	qu'y a t il ?
prices will certainly go up	les prix vont certainement augmenter
i have no insurance	je n'ai pas d'assurance
they let me go	elles m'ont laisse m'en aller
he burst into tears	il a fondu en larmes
the car doesn't start	la voiture ne demarre pas
we were partners	nous etions partenaires
i wanted to come	je voulais venir
everything was stolen	tout a ete vole
how tall you are !	comme vous etes grand !
that's rubbish	c'est absurde
are you a maniac ?	etes vous maniaque ?
i heard screams	j'ai entendu des hurlements
i'm very shy	je suis tres timide
we make an excellent team	nous formons une excellente equipe
they like english	l'anglais leur plait
there's no doubt	il n'y a aucun doute
his speech lasted three hours	son discours dura trois heures
i am afraid to go	j'ai peur de m'y rendre
are you still sleepy ?	es tu encore endormie ?
i'm happy enough	je suis assez heureuse
what is your destination ?	quelle est votre destination ?
see for yourself	vois par toi meme
come whenever you want	passe quand tu veux
that can't be true	cela ne peut etre vrai
i want facts	il me faut des faits
feel this	touche ca !
you have made many mistakes	tu as fait beaucoup d'erreurs
i'd rather be in boston	je preferais etre a boston
i am so sick	je suis si malade
only one man survived	un seul homme a survecu
i'm immune	je suis immunisee
who should we believe ?	qui devons nous croire ?
it must be there	ca doit etre ici
the king's son was kidnapped	le prince fut enleve
we all quit	nous arretons tous
i'll go back to boston	je retournerai a boston
it's on my desk	c'est sur mon bureau
somebody stole it from me	quelqu'un me l'a vole
she's no singer	elle n'est pas chanteuse
tom prefers blondes	tom prefere les blondes
tom unbuttoned his jacket	tom a deboutonne sa veste
long time no see	ca fait un bail
i'm very upset	je suis tres contrarie
shut the door tight	ferme bien la porte !
the job is almost done	le travail est presque fait
termites eat wood	les termites mangent du bois
it should be like this	ca devrait etre ainsi
you crossed the line	tu as franchi la ligne
every minute counts	chaque minute compte
i owe you my life	je te dois la vie
i'd accept	j'accepterais
it's a large one	c'en est un gros
all of them remained silent	ils sont tous restes silencieux
he adores his grandfather	il adore son grand pere
i'm at home	je suis dans la maison
i'm busy	je suis occupee
he's a ghostwriter	c'est un negre
i like this custom	j'aime cette coutume
you're not like me	vous n'etes pas comme moi
you're really annoying	tu es vraiment embetante
my father finally compromised	mon pere transigea finalement
i am in trouble	je suis mal barre
make your choice	fais ton choix
he explained it in detail	il l'a explique en detail
they have a beautiful house	ils ont une belle maison
the switch is on	l'interrupteur est enclanche
he is very depressed	il est fort deprime
the interview began at o'clock	l'entrevue commenca a heures
you're the leader	c'est vous la chef
we're unrelated	nous ne sommes pas apparentees
you're always saying that	vous dites toujours cela
go away right now !	partez tout de suite !
it felt pretty good	je me sentis assez bien
you're very curious	vous etes tres curieuses
i've already finished my work	j'ai deja effectue mon travail
he has a foreign car	il possede une voiture etrangere
look at the picture	regarde l'image
it doesn't make any sense	ca ne veut rien dire
no one says that anymore	personne ne dit plus ca
stop playing with that	arrete de jouer avec ca
turn to the left	tourne a gauche
i like these chairs	j'aime ces chaises
who painted that ?	qui a peint cela ?
it's artificial	c'est artificiel
i'm beginning to get curious	je commence a devenir curieuse
please be careful	veuillez etre prudents
let's do it !	on s'y met !
get us out of here	sors nous de la
tom is a mystery	tom est un mystere
this product is well designed	ce produit est bien concu
she hung up in silence	elle raccrocha en silence
get into your car	grimpez dans votre voiture !
it's yours	c'est la votre
i'm not planning anything	je ne prevois rien
you're irresistible	t'es irresistible
she didn't answer	elle n'a pas repondu
they're still young	elles sont encore jeunes
one must keep one's promises	on doit tenir ses promesses
he has very bad luck	il a la poisse
this car won't start	cette voiture ne demarrera pas
the next sentence is false	la phrase suivante est fausse
that was a cheap shot	ce fut une bassesse
watch your back	surveille tes arrieres !
he didn't like being poor	il n'aimait pas etre pauvre
i got fined	j'ai pris une prune
be careful	soyez prudentes !
this laptop is light	cet ordinateur portable est leger
they went crazy	ils sont devenus fous
we subscribe to a newspaper	nous souscrivons a un journal
i left	je suis parti
he wants to speak	il veut parler
i abhor spiders	j'ai horreur des araignees
we'll give you your revenge	nous te donnerons ta revanche
i'll foot the bill	je paierai l'addition
i wasn't consulted	on ne m'a pas consultee
fill the bottle with water	remplis la bouteille d'eau !
i really like your paintings	j'apprecie vraiment tes tableaux
give it to me	donnez la moi
i didn't sleep well	je ne dormis pas bien
he's out of practice	il est rouille
check these out	regardez celles ci !
it's nothing personal	ca n'a rien de personnel
i hate this carpet	je deteste ce tapis
don't take any prisoners	ne faites aucun prisonnier
you should eat more	vous devriez manger davantage
let's take a short break	faisons une courte pause
i am out of work	je suis sans travail
i am divorced	je suis divorce
it's a piece of cake	comme dans du beurre
we argued politics	nous avons discute politique
you are blinded by love	vous etes aveugle par l'amour
that was a costly mistake	ce fut une erreur couteuse
tom seems slightly confused	tom semble legerement confus
stay with us	demeure avec nous
which is your suitcase ?	laquelle est ta valise ?
i made a few calls	j'ai passe quelques appels
i'm being blackmailed	on me fait chanter
you've come too early	vous etes venues trop tot
you're the teacher	c'est vous l'enseignant
i have a facebook account	j'ai un compte facebook
this makes sense	ca se tient
wait one second	attends une seconde !
he will be back soon	il reviendra rapidement
she has a picture	elle detient une photo
i got a traffic ticket	j'ai recu une contravention
i love lasagna	j'adore les lasagnes
i was here first	j'etais la le premier
are you busy ?	etes vous occupees ?
i think he likes you	je pense qu'il t'apprecie
he looks like a horse	il ressemble a un cheval
help yourself to a drink	servez vous a boire !
they smiled	ils ont souri
tom didn't have a brother	tom n'avait pas de frere
i prefer modern furniture	je prefere l'ameublement moderne
let me get this straight	laisse moi clarifier ca
you have gone too far	vous etes allee trop loin
you're driving me nuts	vous me rendez fou
clean up the kitchen	nettoie la cuisine
you look very tired	vous avez l'air tres fatiguee
we've endured three wars	nous avons subi trois guerres
stop screaming	arrete de hurler !
is that mandatory ?	est ce obligatoire ?
they handled it well	elles s'en sont bien sorties
we're not married	nous ne sommes pas mariees
i'm ugly	je suis laide
i'll text you the address	je t'enverrai l'adresse par texto
he heard a shout	il entendit un cri
you're not like me	tu n'es pas comme moi
mary is cute	marie est mignonne
that's a joke	c'est une blague
you're conscientious	vous etes consciencieuses
i have a prior engagement	je suis deja pris
the chair is broken	la chaise est cassee
you were fantastic	tu etais fantastique
he often gets sick	il est souvent malade
it's a vague story	c'est une histoire vague
i love your hair	j'adore tes cheveux
water power turns the wheel	l'energie hydraulique actionne la roue
i have rights	je dispose de droits
i want to stay alive	je veux rester en vie
can you handle it ?	peux tu t'en sortir ?
that was unbelievable	c'etait incroyable
he's worried about the result	il se preoccupe du resultat
what's the target ?	quelle est la cible ?
he can swim a mile	il peut nager mile
i like the colors	j'en apprecie les couleurs
are they all nuts ?	sont elles toutes dingues ?
i feel kind of hungry	j'ai plus ou moins faim
we've already met	nous nous sommes deja rencontres
she is easygoing	elle est facile a vivre
we make great money	nous faisons beaucoup d'argent
this car runs on alcohol	cette voiture fonctionne a l'alcool
you are very beautiful	vous etes tres belle
i am tired of homework	je suis fatigue des devoirs
let's get back on topic	revenons a nos moutons
you're good	vous etes bon
are you about done ?	as tu bientot fini ?
it had snowed	il avait neige
he is fond of adventure	il aime l'aventure
he asked an awkward question	il posa une question embarrassante
i tried everything	j'ai tout essaye
the weather is beautiful today	il fait beau aujourd'hui
maybe next time	peut etre la prochaine fois
not everything can be explained	tout ne peut etre explique
she grew roses	elle fit pousser des roses
do you understand me ?	me comprenez vous ?
i'm highly motivated	vous m'avez bien motive
will you pay cash ?	payeras tu en liquide ?
i'm not a gambler	je ne suis pas joueuse
it's crowded today	c'est plein aujourd'hui
talk to me	parlez avec moi
you fainted	vous vous etes evanoui
tom often changes his mind	tom change souvent d'avis
she is lucky	elle est chanceuse
divide and conquer	diviser pour regner
it's deer season	c'est la saison des cerfs
i caught a cold	j'ai contracte un rhume
drop it !	laisse tomber !
keep trying	continue d'essayer
we depend on each other	nous dependons l'une de l'autre
he had to go there	il a du y aller
did you meet her ?	l'as tu rencontree ?
tom is very gullible	tom est tres credule
tom doesn't even like driving	tom n'aime meme pas conduire
christmas is approaching	noel approche
i buried it	je l'ai enterre
he has a dark secret	il detient un noir secret
this was a premeditated crime	c'etait un crime premedite
true friendship is priceless	la veritable amitie est inappreciable
you are the chosen one	tu es l'elue
i hate fish	je deteste le poisson
they're so funny	ils sont si droles
he's a freshman	c'est un bizuth
tom is vulgar	tom est vulgaire
it makes little difference	cela fait une petite difference
i didn't change anything	je n'ai rien change
is it all wrong ?	est ce tout faux ?
your cat is fat	ta chatte est grasse
we have enough money	nous disposons de suffisamment d'argent
where's your suitcase ?	ou est ta valise ?
i just want to help	je veux juste etre utile
they're amazing	ils sont incroyables
we're all here	nous sommes toutes la
somebody saw you	quelqu'un vous a vue
you are good	tu es bonne
she's very upset	elle est tres contrariee
tom is kind of creepy	tom est un peu glauque
that is almost correct	c'est presque correct
i've got plenty of customers	j'ai de nombreux clients
i had my bicycle stolen	mon velo s'est fait voler
i like to write poems	j'aime ecrire des poemes
it was very windy	c'etait tres venteux
come on talk to me	allez parlez moi
sugar is sweet	le sucre est sucre
no one cares	tout le monde s'en fiche
i'm alone	je suis seul
i like skiing very much	j'adore le ski
she picked me an apple	elle m'a cueilli une pomme
it's snowing	il neige
i'm doing well	je vais bien
he took off his overcoat	il retira son manteau
he burst into tears	il eclata en larmes
you're very understanding	vous etes tres comprehensives
cooking is interesting	la cuisine c'est interessant
you're early	vous etes matinale
these are the originals	voici les originaux
we have no proof	nous n'avons aucune preuve
are we leaving ?	partons nous ?
let me in	laissez moi entrer
got it ?	compris ?
this place is really beautiful	cette place est vraiment magnifique
the weather changed suddenly	le temps changea soudain
we saw everything	nous avons tout vu
he made up his mind	il s'est decide
i hate fanatics	je deteste les fanatiques
i owe you a favor	je vous dois une faveur
you abandoned me	vous m'avez abandonne
she knows she always knows	elle sait elle sait toujours
he was invited	il fut invite
he is playing here	c'est ici qu'il joue
they are christians	ce sont des chretiens
is that your car ?	est ce ta voiture ?
she wanted to travel	elle voulait voyager
you'll find a job	tu trouveras du travail
leave him alone	laissez le tranquille
i'm drunk	je suis ivre
don't try anything funny	ne fais rien de bizarre
it's not funny	ce n'est pas marrant
we should follow his example	nous devrions suivre son exemple
are you still sleepy ?	tu as encore sommeil ?
you should quit smoking	vous devriez arreter de fumer
he was sitting there	il s'asseyait la
that changes nothing	cela ne change rien
take a bus	prenez un bus
it's getting dark	la nuit tombe
you're very sophisticated	vous etes fort elegant
i feel awful	je me sens affreusement mal
you have to use tools	vous devez employer des outils
i finished writing the report	j'ai termine d'ecrire le rapport
can you help me ?	peux tu m'aider ?
i need a crew	il me faut un equipage
he gave a short talk	il fit un bref discours
you're a prisoner	tu es un prisonnier
i feel trapped	je me sens piege
my phone rang again	mon telephone sonna a nouveau
check these out	regarde ceux ci !
they ruined my life	elles ont ruine ma vie
italian isn't difficult	l'italien c'est pas difficile
your life is in danger	votre vie est en danger
i hate losing	je deteste avoir le dessous
many people are skeptical	beaucoup de gens sont sceptiques
exercise outdoors	fais de l'exercice a l'exterieur
he's after me	il est apres mes fesses
get ready for some action	prepare toi a baiser
it feels silly	ca semble idiot
it's a very sad story	c'est une fort triste histoire
you're funny	vous etes marrant
there she comes	la voici
that really scares me	ca me fait vraiment peur
nobody can help me	personne ne peut m'aider
keep quiet !	reste tranquille !
they swam	ils nageaient
i have misjudged you	je vous ai mejugee
i gave him my address	je lui donnai mon adresse
i traveled by myself	je voyageai seul
i know what he's thinking	je sais ce qu'il pense
i study japanese history	j'etudie l'histoire japonaise
she is a typist	elle est dactylo
it's not about them	il ne s'agit pas d'eux
what a lovely day !	quelle belle journee !
that dog is big	ce chien est gros
let tom sleep	laisse tom dormir
i've heard that song before	j'ai deja entendu cette chanson
that affair made him famous	cette affaire l'a rendu celebre
i'd leave	je partirais
he sang off key	il a chante faux
whose fault is it ?	a qui la faute ?
the danger is minimal	le danger est minimum
what is love ?	qu'est l'amour ?
something wasn't right	quelque chose ne collait pas
we'll be just fine	ca ira bien pour nous
he's fluent in japanese	il parle couramment le japonais
he still wants to come	il veut toujours venir
i almost forgot it	je l'ai presque oublie
why do you study ?	pourquoi tu etudies ?
close that door	ferme cette porte !
i loved that	j'ai adore ca
i pay my own way	je peux me gerer seul
i don't deserve this	je ne merite pas ca
you don't have any proof	tu n'as aucune preuve
stop crying	arrete de pleurer !
he had been there before	il y avait ete auparavant
i never lose	je ne perds jamais
you can take it	vous pouvez la prendre
today is valentine's day	aujourd'hui est la saint valentin
i hate rainy days	je deteste les journees pluvieuses
the piano is expensive	le piano est cher
i can comfort her	je peux la consoler
everybody is waiting for you	tout le monde t'attend
i've already fed the baby	j'ai deja alimente le bebe
you're so sweet	vous etes si gentils !
choose books carefully	choisissez des livres avec soin
nobody listened to me	personne ne m'a ecoute
i let you catch me	je vous ai laissees m'attraper
i've got lots of questions	j'ai de nombreuses questions
come play with us	viens jouer avec nous
tom changed jobs	tom a change de travail
it's not necessary	ce n'est pas necessaire
tom doesn't live here	tom n'habite pas ici
let tom decide	laissons tom decider
he has a small advantage	il a un petit avantage
this is yours	c'est le votre
i reconsidered your offer	j'ai reevalue ta proposition
the weather was ideal	le temps etait ideal
what a hassle !	quelle histoire !
this is ridiculous !	c'est ridicule !
we'll soon be together	nous serons bientot ensemble
put some clothes on	vets toi !
the contract was signed	le contrat a ete conclu
i was afraid of that	je le craignais
should i leave ?	devrais je partir ?
go away	disparais !
i really am sorry	je suis vraiment desole
keep quiet	restez tranquilles
you're very wise	tu es tres sage
do you feel lucky ?	te sens tu chanceuse ?
few people think so	peu de gens pensent ainsi
you look fat	tu as l'air gros
i'll leave tom alone	je laisserai tom tranquille
this is astounding	c'est renversant
it was white	c'etait blanc
please write down your name	veuillez ecrire votre nom
this pen belongs to me	ce stylo m'appartient
everybody has their favorite drink	chacun a sa boisson preferee
yesterday he came back late	hier il est rentre tard
someone is playing the piano	quelqu'un joue du piano
he will come back soon	il reviendra bientot
tom wants revenge	tom veut se venger
it's not that difficult	ce n'est pas si difficile
i could've cried	j'aurais pu pleurer
i need a lawyer	j'ai besoin d'un avocat
i hope you understand that	j'espere que tu comprends cela
it was broken	il etait casse
don't ramble	ne radotez pas
any questions ?	des questions ?
i have met him before	je l'ai rencontre avant
we could sing together	nous pourrions chanter ensemble
you could stop this	vous pourriez arreter ceci
is it true ?	c'est vrai ?
this book is about stars	ce livre traite des etoiles
tom is a candidate	tom est un candidat
i'm sloshed	je suis bourree
isn't this nice ?	n'est ce pas chouette ?
i don't like your suggestion	je n'aime pas ta suggestion
thanks for calling tom	merci d'avoir appele tom
believe what you want	crois ce que tu veux
they're all normal	elles sont toutes normales
everybody sat down	tout le monde s'est assis
they made me go there	ils m'ont fait aller la
we don't have that	nous n'avons pas cela
make your choice	faites votre choix
the answers are all right	les reponses sont toutes correctes
go and help your brother	va aider ton frere !
i have information	je dispose d'informations
drop the gun	lachez l'arme !
that's an imitation	c'est une imitation
it's for you	c'est pour toi
